m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SSC,SSCFQ,SUNSHINE MINING,SUNSHINE MINING,,,,N,,,,,,,,,,12,,,,,,,,,
SSC1,SSCI,SOLAR SATELLITE,SOLAR SATELLITE,,,,N,,,,,,,,,,10,,,,,,,,,
#SSC,SSCO,SUNSTYLE CORP,SUNSTYLE CORP,,,,N,,,,,,,,,,12,,,,,,,,,
SSCI,SSCT,SOUTHN SCOTTISH,SOUTHN SCOTTISH,OTC,,,N,,,,,,,,,,12,,,,,,,,,
SMCO,SSD,SIMPSON MFG INC,"Simpson Manufacturing Company, Inc.",NYSE,USD,S,Y,http://www.simpsonmfg.com,3420,"Cutlery, handtools, & general hardware",21,BLDG&CONST-MISC,8,Construction,28,BUILDING PRODS,12,2004-11-19,2.0,0000920371,US,UNITED STATES,1,Y,N,COM
SSDD,SSDD,E-TRC ISE SSD,E-TRC ISE SSD,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
SSDL,SSDL,E-TRC M2X SSD,E-TRC M2X SSD,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
SHSY,SSDOY,SHISEIDO CO-ADR,Shiseido Co.,OTC,USD,S,Y,http://www.shiseido.com,2834,Pharmaceutical preparations,47,COSMETICS&TLTRS,1,Consumer Staples,5,SOAPS/COSMETICS,12,1992-07-10,5.0,0000899118,JP,JAPAN,1,N,N,ADR
SCNO,SSE.,SOUTHERN CT BCP,SOUTHERN CT BCP,,,,N,,,,,,,,,,12,,,,,,,,,
SSE,SSEIQ,SEVENTY SVN EGY,Seventy Seven Energy Inc.,OTC,,,N,,,,,,,,,,12,,,,,,,,,
SMSG,SSEM,SAMSUNG ELECTRS,SAMSUNG ELECTRS,,,,N,,,,,,,,,,12,,,,,,,,,
SSER,SSER,SOUTHERN STAR,SOUTHERN STAR,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
